file_name,title,tags,description
design1.png,Synthwave Sunset Mountains,"retro,synthwave,sunset,mountains,80s,neon","Vibrant 80s synthwave-inspired design featuring a neon sunset and mountain silhouette."
design2.png,Retro Cat Rainbow,"cat,rainbow,retro,vintage,70s,animal,cute","Cute black cat perched on colorful retro stripes with a vintage 70s vibe."
design3.png,Memphis Geometric Pattern,"memphis,abstract,geometric,pattern,colorful,shapes","Playful abstract geometric pattern with colorful shapes inspired by the Memphis design movement."
design4.png,Watercolor Tropical Leaves,"tropical,leaves,botanical,watercolor,nature,dark","Elegant watercolor illustration of tropical leaves on a dark backdrop."
design5.png,Build Explore Repeat Quote,"quote,inspirational,typography,brush strokes,modern,motivational","Inspirational quote 'Build. Explore. Repeat.' in bold modern typography with abstract brush-strokes."
design6.png,Cosmic Nebula Swirl,"galaxy,nebula,space,cosmic,stars,purple,blue","Captivating cosmic nebula swirling with stars in deep blues and purples."
design7.png,Cyberpunk City Lights,"cyberpunk,cityscape,neon,futuristic,night,scifi","Futuristic cyberpunk cityscape glowing with neon lights against a dark skyline."
design8.png,One-Line Face Art,"minimalist,line art,face,continuous line,modern,pastel","Minimalist illustration of a human face drawn with a single continuous line on a pastel background."
design9.png,Radial Mandala Grid,"mandala,geometric,radial,pattern,spiritual,abstract","Modern mandala-inspired design featuring a radial grid pattern on a deep blue background."
design10.png,Minimalist Mountain Sunset,"mountain,landscape,minimalist,sunset,nature,geometric","Simple minimalist landscape with geometric mountains and an orange sun."
